t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,qddot0,qddot1,qddot2,qddot3,qddot4,qddot5,jerk0,jerk1,jerk2,jerk3,jerk4,jerk5
0.1615,0.0201007,-0.0242825,0.0381817,0.0261024,0.0220445,-0.0415429,0.345131,-0.394283,0.613039,0.413442,0.35938,-0.664888,3.59544,-3.54361,5.33155,3.44569,3.2694,-5.72474,10.3137,0.851227,-5.17047,-6.82972,0.165527,6.94669
0.16625,0.0217808,-0.0261953,0.0411537,0.028105,0.0237884,-0.0447655,0.362323,-0.411102,0.638299,0.429728,0.374908,-0.691995,3.64295,-3.53698,5.30275,3.41016,3.26792,-5.68704,9.69158,1.93615,-6.94936,-8.12572,-0.786858,8.92259
0.171,0.0235431,-0.0281879,0.0442453,0.0301845,0.0256061,-0.0481165,0.379734,-0.427877,0.663402,0.445829,0.390418,-0.718901,3.68752,-3.52525,5.26559,3.36854,3.26196,-5.64005,9.07623,2.99945,-8.68876,-9.39122,-1.71992,10.8547
0.17575,0.0253886,-0.03026,0.0474557,0.03234,0.0274974,-0.0515947,0.39735,-0.444584,0.688309,0.461719,0.405889,-0.745561,3.72918,-3.50852,5.22027,3.32099,3.25161,-5.58399,8.4677,4.04112,-10.3887,-10.6262,-2.63365,12.7431
0.1805,0.0273182,-0.0324113,0.0507838,0.0345705,0.029462,-0.0551989,0.415157,-0.4612,0.712982,0.47737,0.421301,-0.771934,3.76797,-3.4869,5.16696,3.26764,3.23697,-5.51906,7.86599,5.06118,-12.0491,-11.8308,-3.52805,14.5877
0.18525,0.0293329,-0.0346412,0.0542286,0.0368746,0.0314996,-0.0589276,0.433141,-0.477702,0.737383,0.492753,0.436634,-0.797979,3.80392,-3.46048,5.10586,3.20864,3.21813,-5.44547,7.27111,6.05962,-13.6701,-13.0048,-4.40313,16.3885
0.19,0.0314333,-0.0369492,0.0577885,0.0392512,0.0336098,-0.0627791,0.451289,-0.494067,0.761476,0.507843,0.451867,-0.823653,3.83706,-3.42936,5.03716,3.14414,3.19517,-5.36344,6.68304,7.03643,-15.2516,-14.1483,-5.25888,18.1456
0.19475,0.0336203,-0.0393346,0.0614621,0.0416986,0.0357921,-0.0667516,0.469589,-0.510273,0.785224,0.522614,0.466982,-0.848918,3.86742,-3.39366,4.96103,3.07428,3.1682,-5.27316,6.1018,7.99162,-16.7936,-15.2614,-6.09531,19.8589
0.1995,0.0358946,-0.0417966,0.0652475,0.0442155,0.0380459,-0.0708431,0.488026,-0.5263,0.808594,0.53704,0.481959,-0.873735,3.89503,-3.35348,4.87768,2.99921,3.1373,-5.17485,5.52737,8.9252,-18.2961,-16.344,-6.9124,21.5284
0.20425,0.0382568,-0.0443341,0.069143,0.0467999,0.0403705,-0.0750513,0.506587,-0.542124,0.831551,0.551098,0.49678,-0.898067,3.91994,-3.30891,4.78728,2.91906,3.10256,-5.06871,4.95977,9.83715,-19.7591,-17.3961,-7.71017,23.1542
0.209,0.0407074,-0.0469464,0.0731466,0.0494503,0.0427651,-0.0793739,0.525261,-0.557727,0.854062,0.564764,0.511427,-0.921876,3.94216,-3.26006,4.69003,2.83399,3.06408,-4.95495,4.39899,10.7275,-21.1827,-18.4177,-8.48862,24.7362
0.21375,0.0432469,-0.0496322,0.0772559,0.0521645,0.0452288,-0.0838083,0.544034,-0.573088,0.876096,0.578014,0.525883,-0.945127,3.96174,-3.20703,4.58611,2.74414,3.02195,-4.83378,3.84503,11.5962,-22.5668,-19.4088,-9.24773,26.2745
0.2185,0.0458758,-0.0523903,0.0814687,0.0549407,0.0477606,-0.0883517,0.562893,-0.588188,0.89762,0.590826,0.54013,-0.967785,3.9787,-3.14993,4.47571,2.64966,2.97626,-4.70541,3.29789,12.4433,-23.9114,-20.3694,-9.98752,27.769
